単語,品詞,意味,用例,"単語
を追加",品詞・意味・用例を追加
salad,名,サラダ,"Which do you want, salad or soup?",●,
sale,"名

","安売り、特売、販売
　sales　販売部門
　for sale　売り物の","We have a big sale now.

",●,
salt,名,塩、食塩,Please pass me the salt.,●,
salty,形,塩からい、塩気のある、しょっぱい,This sandwich is salty.,●,
same,"形
代","同じ、同一の
同じもの〔こと〕","We were born in the same hospital.
She ordered coffee, and I ordered the same.",,●
sandwich,名,サンドイッチ,make sandwiches,●,
Saturday,名,土曜日,on Saturday,,
save,動,①～を救う、～を守る、～を助ける　②～を節約する、～をためる、～を省く,"①save his life　②save energy
",,●
say,動,①(～と)言う　②～と書いてある　《活用》said-said,"①The boy said, ""Hello.""　②This book says that learning every day is important.",,●
scared,形,おびえた、恐れる、こわがって,We were too scared to get out. / I felt scared.,●,
scarf,名,スカーフ、マフラー、えり巻き  《複数》scarfs/scarves,"Which do you want, a hat or a scarf?",●,
school,名,学校,go to school,,
school trip,名,修学旅行,We have a school trip in summer.,●,
science,名,科学、理科,I study science.,,
scientist,名,科学者,a great scientist,,
scissors,名,はさみ,use scissors,●,
sea,"名
形","海
海の","go to the sea
I'm interested in sea animals.",,●
seafood,名,シーフード、海産物、魚介,enjoy eating seafood,●,
search,"名
動","探索、検索、サーチ
(場所などを)さがす、(場所などを)調べる","a quick search
I'm searching for my key.",●,
season,"名
","季節
  in season　(食べ物などが)旬で","the four seasons
",,●
seat,名,座席、座るところ、シート,take a seat,,
second,"名

形
副
","①２番め、２日　②秒

２番めの、第２の
２番めに、第２に
","①My birthday is February 2nd.　②The top runners run 100 meters in 10 seconds.
on the second floor
First, you have to do this.  Second, you have to try that one.
",,●
secret,名,秘密、秘けつ,It's a secret. / learn the secret of ～,●,
section,名,部分、区域,this section of the book,●,
see,"動




","①わかる、理解する　②～を見る、～が見える　③～に会う　④(医者など)にみてもらう　《活用》saw-seen
　Let's see.　(考えながら)ええと。そうですね。
　See you.　またね。
　I see.　なるほど。わかった。","①I see.　②You can see beautiful stars here.　③see my teacher　④see a doctor


",,●
seed,"名
動","種
(大会などで)シードする","a lot of seeds
a top seeded player",●,
seem,動,～のように見える、思われる,seem to notice us,●,
select,動,(～を)選ぶ、(～を)選択する,select a present,●,
sell,動,～を売る  《活用》sold-sold,sell our house,,
send,動,～を送る　《活用》sent-sent,send a letter to her,,
sense,"名

動
","①感覚、センス、わかる心　②意味

～を感じる
　make sense　(話・文などが)意味をなす、意味が通る","①a sixth sense / I have no sense of direction.　②Which makes the most sense?
I sensed that something was wrong.
",,●
sentence,名,文,a long sentence,,
September,名,９月,in September,,
serious,形,①重大な、重い　②本気の、真剣な、まじめな,①a serious problem　②a serious student,,●
serve,動,(食事)を出す、(～を)給仕する,Breakfast is served here.,,
service,名,①サービス、接客、対応　②公共事業,①provide good service　②water service,●,
set,"名
動

","セット、組、そろい
～を置く、～をセットする、～を整える、～を設定する、～を準備する  《活用》set-set
　set up ～　～を設立する、～をたてる","a set of dishes
set the table for dinner

",,●
seven,"名
形","７
７の","Seven is a lucky number.
at seven o'clock",,●
seventeen,"名
形","１７
１７の","My favorite number is seventeen.
I'm seventeen years old.",,●
seventeenth,"名
形","１７番め、１７日
１７番めの","My birthday is July 17th.
in the seventeenth century",●,
seventh,"名
形","７番め、７日
７番めの","My birthday is July 7th.
on the seventh floor",,●
seventy,"名
形","７０
７０の","at the age of seventy
There were 70 members in this club.",,●
several,形,いくつかの、いくらかの、数人〔個〕の,stay here for several days,,
shake,"動
","揺れる、～をゆさぶる、振動する　　《活用》shook-shaken
　shake hands　握手する",Shake the bottle well before you use it.,●,
shall,助,(提案・勧誘)(Shall I〔we〕～?で)～しましょうか。,Shall we dance?,,
shape,名,形、形状、姿,a different shape,,
share,動,～を共有する、～を分かち合う,I share this room with my sister.,,
she,代,彼女は、彼女が,She is a junior high school student.,,
sheep,名,ヒツジ　《複数》sheep,a big sheep,●,
shelf,名,棚　《複数》shelves,build a shelf,●,
shelter,名,避難所、保護、避難,a shelter for the animal,●,
shine,"名
動","輝くこと、晴れ
光る、輝く","You can see a good shine on his shoes.
The sun shines.",●,
ship,名,船,get off a ship,,
shirt,名,シャツ,wear a shirt,,
shoe,名,(通例 ～s) 靴,wear shoes,,
shoot,"動
",①シュートする〔を決める〕　②(弾丸・矢など)を(～に向かって)撃つ、射る　《活用》shot-shot,①Shoot at the goal now!　②shoot at the animal,●,
shop,"名
動","店
買い物をする","a famous shop  
I was shopping at the supermarket.",,
shopping,名,買い物、ショッピング,go shopping,●,
short,"形
","①短い　②背の低い
  in short　要約すると",①for a short time　②My brother is shorter than that boy.,,●
should,助,～すべきである、～した方がよい,You should go now.,,
shoulder,名,肩,my shoulder,●,
show,"名
動
","見せ物、番組、ショー
①(…に)～を見せる、～を示す　②～を案内する 《活用》showed-shown/showed","an amazing show
①show her my picture　②I'll show you my town.
",,●
shower,名,シャワー,take a shower,●,
shrine,名,神社,visit the shrine,,
shut,動,～をしめる、(～を)閉じる　《活用》shut-shut,shut the door,●,
shy,形,恥ずかしがりの、内気な、人見知りをする,He is very shy.,,
sick,形,病気の、具合が悪い,She is sick.,,
side,名,①側、面、派　②側面、わき、横,①a dark side of the history　②the side of a box　,,●
sightseeing,名,観光、見物,go sightseeing in Kyoto,,
sign,名,①しるし、前兆　②標識、掲示、看板　③手まね、身ぶり,①as a sign of thanks　②What does this sign say?　③give her a sign to hold up,,●
silent,形,黙った、沈黙の、無言の、無音の,keep silent,●,
silently,副,黙って、無言で,read the passage silently,●,
similar,形,よく似た,That picture is similar to this picture.,,
simple,形,簡単な、単純な、わかりやすい,a simple question,,
since,"前
接
","～以来、～から
①～以来、～から　②～なので
","since last summer
①since I was a child　②Since I know the truth, I can't keep it secret.",,●
sing,動,歌う、～を歌う　《活用》sang-sung,sing a song,,
Singapore,名,シンガポール,Welcome to Singapore!,●,
singer,名,歌手、歌う人,a famous singer,,
single,形,たった一つ〔人〕の,a single word,●,
sink,"名
動","洗面台、流し
沈む　《活用》sank/sunk-sunk/sunken","put the plate in the sink
The ship has sunk.",●,
sister,名,姉妹、姉、妹,brothers and sisters,,
sit,動,すわる　《活用》sat-sat,sit on a chair,,
site,名,①場所、敷地　②遺跡　③サイト,①do research at the site　②the World Heritage Sites　③Everyone knows that site.,●,
situation,名,①立場、状態、状況　②事態、情勢,①in a dangerous situation　②It depends on the weather situation.,,●
six,"名
形","６
６の","My favorite number is six.
at six o'clock",,●
sixteen,"名
形","１６
１６の","My favorite number is sixteen.
He is sixteen years old.",,●
sixteenth,"名
形","１６番め、１６日
１６番めの","My birthday is June 16th.
in the sixteenth century",,●
sixth,"名
形","６番め、６日
６番めの","My birthday is June 6th.
on the sixth floor",,●
sixty,"名
形","６０
６０の","at the age of sixty
He is sixty years old.",,●
size,名,大きさ、サイズ、寸法,the size of a desk,,
skate,動,スケートをする,Do you skate often?,,
ski,"名
動","スキー
スキーをする","a ski trip
I often ski in winter.",,●
skiing,名,スキー,go skiing,●,
skill,名,技術、技能、腕前,an important skill,,
skin,名,皮ふ、肌、皮,protect the skin,●,
sky,名,空,the blue sky,,
sleep,"名
動","睡眠、眠り
眠る、寝ている　《活用》slept-slept","I had a good sleep last night.
sleep well",,●
sleepy,形,眠い、眠そうな,feel sleepy,,
slow,"形
動","ゆっくりな、遅い
速度を落とす","slow speed
slow down the speed",●,
slowly,副,ゆっくりと、遅く,drive slowly,,
small,形,小さい、狭い、わずかな、ささいな,a small desk,,
smart,形,かしこい、頭のよい,The student is very smart.,●,
smartphone,名,スマートフォン,turn off the smartphone,●,
smell,"名
動","におい
においがする、においをかぐ","What a nice smell!
The dog smelled my hands. ",●,
smile,"名
動
","ほほえみ、笑顔
ほほえむ、にっこりする、笑う
　with a smile　にっこり笑って","with a smile
smile at the baby
",,●
smoke,名,煙,see smoke,●,
snack,名,軽食、間食、おやつ,have a snack,●,
snake,名,ヘビ,a long snake,●,
snow,"名
動","雪
雪が降る","We had a lot of snow. 
It snowed a lot.",,●
snowy,形,雪の、雪の降る、雪の積もった,a snowy day,,
so,"副

接
","①そんなに　②そのように　③とても、非常に

だから、それで、では
　so ～ that …　とても～なので...","①The result of the test was not so good.  ②Please do so.  ③She was so happy.
I am hungry, so I want something to eat. 
",,●
soccer,名,サッカー,play soccer,,
social,形,社会の、社会的な,social problems,●,
social studies,名,社会科,a teacher of social studies ,●,
society,名,社会、世間,a small society,●,
soda,名,ソーダ、ソーダ水,drink soda,●,
sofa,名,ソファ,sleep on the sofa,●,
soft,形,やわらかい,a soft sweater,,
soil,名,土、土壌、土地,good soil for growing flowers,●,
solution,名,解決(策・法),find the solution,●,
solve,動,～を解決する、～を解く,solve the problem,,
some,"形
代","①いくつかの、いくらかの　②～もある
いくらか、多少、何人か","①some cars  ②Some animals are active at night.
some of them",,●
somebody,代,だれか、ある人,to meet somebody,●,
someday,副,いつか、そのうち,I want to go to Australia someday.,,
someone,代,だれか、ある人,ask someone,,
something,代,何か、あるもの〔こと〕,something to drink,,
sometimes,副,ときどき、ときには,sometimes play tennis,,
son,名,息子,my son,,
song,名,歌,listen to a song,,
soon,副,まもなく、すぐに、早く,come back soon,,
sore,形,痛い,sore throat,●,
sorry,形,①残念で　②すまなく思って　③気の毒で、かわいそうで,①I'm sorry that you couldn't come yesterday.　②I am sorry for her.　③We are sorry about your broken leg.  ,,●
sound,"名
動

","音、物音、響き
～に聞こえる、～のように思われる
　sound like ～　～のように聞こえる、思える
　Sounds ～.　～そうですね。","a beautiful sound
sound like a human voice

",,●
soup,名,スープ、汁,vegetable soup,●,
sour,形,すっぱい、酸味のきいた,taste sour,●,
south,"名
形","南、南部、南方
南の、南部の、南からの","in the south of the country
the south part of the country",,●
southern,形,南の、南にある、南部地方の,on the southern side,●,
souvenir,名,みやげ、思い出の品,buy some souvenirs,●,
space,名,①宇宙　②空間、場所、スペース,①live in space　②Each of us has our personal space.,,●
spaghetti,名,スパゲッティ,a plate of spaghetti,●,
Spain,名,スペイン,go to Spain,●,
Spanish,"名
形","スペイン人、スペイン語
スペインの","I study Spanish.
I like Spanish food.",●,
speak,動,～を話す、話をする　《活用》spoke-spoken,speak Japanese,,
speaker,名,演説者、話者、話す人,today's speaker,●,
special,"名
形","本日のおすすめ
特別の、特殊な、大事な","What's today's special?
a special skill",,●
species,名,(生物学上の)種　   《複数》species,many species,●,
specific,形,特定の、具体的な,a specific situation,●,
speech,名,演説、講演、スピーチ,make a speech,,
speed,名,スピード、速度,fly at a high speed,●,
spell,動,(～を)つづる、(～を)書く,spell the word,●,
spend,"動
",(～を)費やす、(～を)かける、(～を)過ごす　《活用》spent-spent,spend a lot of money / spend a week,,
sport,"名
","スポーツ、運動競技
　sports day　運動会","play sports
",,●
spot,名,地点、場所,meet at the spot,●,
spread,"動
",①～を広げる、～を広める　②広がる、広まる　 《活用》spread-spread,①spread a cloth on the table　②The news spread quickly.,●,
spring,名,①春　②ばね、ぜんまい　③泉,①in spring　②a watch spring　③hot springs,,●
square,"名
形","正方形
正方形の","a square of paper
a square shape",●,
stadium,名,競技場、スタジアム,go to the stadium ,,
staff,名,職員、従業員、スタッフ,ask the staff,●,
stage,"名
動","舞台、ステージ
～を上演する","dance on the stage
The drama club will stage an amazing play next week.",,●
stair,名,階段,climb up the stairs,●,
stamp,名,切手、印,buy a stamp,●,
stand,動,①立つ、立っている、建つ、ある　②～に耐える、～をがまんする　《活用》stood-stood,①stand by a door　②I can't stand this hot weather.,,●
stapler,名,ステープラー,borrow a stapler,●,
star,名,①星　②スター、人気者,①under the stars  ②a popular star,,
start,"名
動","始まり、開始、スタート
①～を始める　②始まる","This is her start in life.
①start to work　②Schools in Japan start in April.",,●
station,名,①駅　②署〔局・所〕,①go to the station　②a police station,,●
stationery,名,文房具、筆記用具,books and stationery,●,
statue,名,像、彫像,statue of a famous character ,●,
stay,"名
動
","滞在
①とどまる　②～のままでいる　③滞在する、泊まる
　stay with ～　～の家に泊まる　","Please enjoy your stay.
①stay at home　②stay healthy  ③I stayed with my uncle for three nights.",,●
step,"名

動","①歩み、足元　②ステップ、段　③階段

歩く、進む","①the next step　②The top step is broken now.　③go up the steps
Don't step on it, please.",,●
stick,"名
動","杖、棒、棒上のもの
くっつく　《活用》stuck-stuck","It's a magic stick.
stick to each other",●,
still,副,①まだ、今でも　②それでも(なお),"①I still remember it.  ②Everyone knew I was wrong; still, no one said a word.",,●
stomach,名,胃,a strong stomach,●,
stomachache,名,胃痛、腹痛,have a stomachache,●,
stone,名,石,throw a stone,,
stop,"名
動
","停留所、駅
①止まる　②～を止める、～をやめる
","The next stop is ～.
①She stopped to talk with him.　②She stopped talking with him.",,●
store,"名
動","店
～を蓄える","a toy store
The animal stores food before winter.",,●
story,名,話、物語,an interesting story,,
straight,"形
副","まっすぐな
まっすぐに","draw a straight line
go straight",,
strange,形,奇妙な、不思議な、変な,a strange story,,
strawberry,名,イチゴ,pick strawberries,●,
street,名,通り、道、街路,walk along the street,,
strict,形,厳しい、厳格な,a strict rule,●,
strong,形,①強い、じょうぶな　②濃い,①a strong body　②drink strong coffee,,●
student,名,生徒、学生,a junior high school student,,
study,"名
動","勉強、学業、研究、調査
(～を)勉強する、(～を)研究する","He spends two hours each day in study.
study English",,●
subject,名,①教科、科目　②話題、件名,①my favorite subject  ②change the subject ,,
subway,名,地下鉄,a subway station,●,
success,名,成功,That was a success.,●,
successful,形,成功した、うまくいった,Our plan was successful.,●,
such,"形

","そのような、そんな、あんな
　such as ～　～のような、たとえば～
　A such as B　BのようなA","such a book

",,●
suddenly,副,突然、急に、いきなり,"Suddenly, the door opened.",,
suggest,動,～を提案する、～をすすめる,I suggest that we start now.,●,
suitcase,名,スーツケース,lost my suitcase,●,
summer,名,夏,in summer,,
sun,名,太陽,under the sun,,
Sunday,名,日曜日,on Sunday,,
sunny,形,晴れた、日の照っている、日の当たる,on a sunny day,,
sunrise,名,日の出、朝焼け,see the sunrise,●,
sunshine,名,日光,Come out into the sunshine.,●,
super,"形
副","超～、実にすばらしい、最高級の
とても、すごく","She is a super woman.
super happy",●,
supermarket,名,スーパーマーケット,go to the supermarket,,
support,"名
動","支持、支え
～を支持する、～を支援する、～を支える","Thank you for your support.
support his family",,●
suppose,動,～だと思う,Suppose you have a million dollars.,●,
sure,"形
副","(～を)確信して
もちろん、どうぞ、いいとも","I'm sure he will come.
""May I use your pen?""  ""Sure.""",,
surf,動,①波乗りする　②(～をあちこち)見て回る,①I like surfing in the ocean.　②I like surfing the Internet.,●,
surfing,名,サーフィン、波乗り,Let's go surfing.,●,
surprise,"名
","驚き、びっくりさせること〔もの〕
　surprise party　不意打ちパーティー","have a surprise 
",●,
surprised,形,驚いた、びっくりした、(～して)驚く、(～に)驚く,I'm surprised to hear the news. / I'm surprised at the news.,,
surprising,形,驚かせるような、驚くべき、意外な,It was surprising news.,●,
surprisingly,副,驚いたことに、意外にも,"Surprisingly for me, I passed the exam.",●,
survey,名,調査,do a survey,●,
survive,動,生き残る、生き延びる,Only two people survived.,,
sustainable,形,持続可能な,learn about a sustainable way of living,●,
sweater,名,セーター,wear the sweater,,
sweet,"名
形","甘いもの
①甘い　②心地よい、やさしい","I love sweets.
①a sweet apple　②His voice is sweet.",,●
swim,"名
動","泳ぎ
泳ぐ　《活用》swam-swum","She had a good swim.
swim in the sea",,●
swimming,名,水泳、泳ぐこと,I like swimming.,●,
system,名,装置、方式、体系、システム,introduce a new system,,
,,,,,
【t】,,,,,
table,名,①テーブル、食卓　②表、一覧表,①sit around a table　②See how to use the word in Table 4.,,●
table tennis,名,卓球,play table tennis,,
tablet,名,タブレット,My tablet is new.,●,
take,"動




","①(～を)とる　②～を持っていく、～を連れて行く　③(時間が)かかる　④～に乗る　⑤～を飲む、服用する　
《活用》took-taken
　take ～ away　～を奪う、持ち去る
　take off ～　～をはずす、脱ぐ","①take a picture  ②I'll take him to the station.  ③It took half an hour to finish the job.  ④take a bus ⑤take a medicine

",,●
talk,"名
動","話、短い講演
話す、話をする","Let's have a small talk.
talk about music",,●
tall,形,①高い　②身長〔高さ〕が～で,①a tall building 　②The child is one meter tall.,,
taste,"名
動","味、味覚
～な味がする","a good taste  
The coffee tastes good.",,
taxi,名,タクシー,take a taxi,,
tea,名,茶、紅茶,a cup of tea,,
teach,動,(…に)(～を)教える  《活用》taught-taught,teach them how to use the computer,,
teacher,名,先生、教師,She is our teacher.,,
team,名,チーム、部、組、団,join the baseball team,,
teammate,名,チームメイト、仲間,my teammates,●,
tear,名,涙、泣くこと,with tears in his eyes,●,
technology,名,科学技術、テクノロジー,new technology,,
telephone,名,電話,talk on the telephone,●,
tell,"動
","(…に)～を言う、(…に)～を教える　《活用》told-told  
　tell A to ～　Aに～するように言う  ","tell him to do his homework
",,●
temperature,名,温度、気温,the temperature in Osaka,,
temple,名,寺、寺院、神殿,an old temple,,
ten,"名
形","１０
１０の","My favorite number is ten.
There are ten students in the room.",,●
tennis,名,テニス,play tennis,,
tent,名,テント,set up our tent,●,
tenth,"名
形","１０番め、１０日
１０番めの","My birthday is October 10th.
live on the tenth floor",,●
terrible,形,恐ろしい、ひどい,The news is so terrible.,,
test,"名
動","試験、テスト、検査
～を試す","give the students a test in math class
Did you test me?",,●
textbook,名,教科書,read the textbook,,
Thailand,名,タイ,She is from Thailand.,●,
than,"前
接","～よりも
～よりも","I like cats better than dogs.
My teacher is older than my father.",,●
thank,"名
動


","感謝
～に感謝する、礼を言う
　thanks to ～　～のおかげで
　Thank you〔Thanks〕 for ～.　～をありがとう。
　No, thank you.　いいえ、けっこうです。","a thousand thanks
Thank you for your letter.


",,●
that,"形
副
代
接



関代

","あの、その　
そんなに、それほど
あれ、それ　
①～ということ　②～なので、～して　③非常に〔とても〕～なので


①(主格)～する〔である〕(人・もの)　②(目的格)～が...する(人・もの)
","That flower is beautiful.
My cat is not that big.
That is my cat.
①I think that he is kind.   ②I'm happy that you are here.  ③The actor is so famous that everyone knows him.　 
①It is the most interesting animal that lives in the ocean.　②This is the only thing that I have.",,●
the,冠,①その(相手も自分もわかっているもの、すでに話に出てきたもの)　②(楽器の前につく)　③(最上級・序数の前につく)　　,①the book  ②play the violin ③ the most beautiful / the third,,●
theater,名,劇場、映画館,go to the theater,,
their,代,彼らの、彼女らの、それらの,clean their rooms,,
theirs,代,彼らのもの、彼女らのもの、それらのもの,The house is theirs.,,
them,代,彼らを〔に〕、彼女らを〔に〕、それらを〔に〕,I told them the story.,,
themselves,代,彼ら自身(で),They had to do it by themselves.,●,
then,"名
副
","そのとき、そのころ
①そのとき、その〔あの〕ころ、当時　②それから、そうすると　","I have known him since then.
①I lived in Tokyo then.  ②If you are sick, then you must stay in bed.",,
there,"副
","そこに〔へ・で〕
  there is〔are〕～　～がいる〔ある〕","I went there yesterday. / There is a book on the desk. 
",,●
these,"代
形
","これらは〔が〕、これらを〔に〕
①これらの　②近頃の
　these days  このごろ、最近","These are my books. 
①These pictures were painted by a famous artist.
②These days, this character is getting popular.",,●
they,代,彼らは〔が〕、彼女らは〔が〕、それらは〔が〕,They live in Osaka.,,
thick,形,①厚い、太い　②濃い,①a thick book　②thick brown hair,●,
thin,形,薄い,He is thin in the face.,●,
thing,名,もの、こと,an interesting thing,,
think,"動

","(～と)思う、(～と)考える　《活用》thought-thought
　think of ～　～のことを〔について〕考える、思い浮かべる","I think that animals are important.

",,●
third,"名
形
副","３番め、３日
３番めの
３番めに、第３に","My birthday is March 3rd.
on the third floor
Third, you should do this.",,●
thirsty,形,のどが渇いた,feel thirsty,,
thirteen,"名

形","１３

１３の","Some people don't think that thirteen is a lucky number.
He is thirteen years old.",,●
thirteenth,"名
形","１３番め、１３日
１３番めの","My birthday is March 13th.
the thirteenth street",,●
thirtieth,"名
形","３０番め、３０日
３０番めの","My birthday is March 30th.
his thirtieth birthday",,●
thirty,"名
形","３０
３０の","My favorite number is thirty.
She is thirty years old.",,●
this,"形
代","①この　②今～、現在の　③次の、今度の
これは〔が〕、これを〔に〕、このこと","①Is this book yours?　②this evening　③this Saturday
take this",,●
those,"形
代
","あれらの・それらの
あれらは〔が〕・それらは〔が〕、あれらを〔に〕・それらを〔に〕","Are those books yours?
Are those your books?  
",,●
though,接,～だけれども、～にもかかわらず,"We went out, though it began to rain.",,
thousand,"名
形
","１，０００
１，０００の
　thousands of ～　何千もの～、多くの～","a thousand
three thousand people
",,●
three,"名
形","３
３の","My favorite number is three.
three children",,●
throat,名,のど,The doctor checked my throat.,●,
through,"副

前
","①すり抜けて　②まったく、すっかり

①～を通って、～をつらぬいて　②～を通じて、～によって、～のために　③～の間中","①The teacher opened the gate and students passed through.  ②My dog and I got wet through in the rain.
①drive through the town 　②through the Internet　③all through my life",,●
throw,"動
","～を投げる  《活用》threw-thrown
　throw away  捨てる","throw a ball to her
",,●
Thursday,名,木曜日,on Thursday,,
ticket,名,切符、券、チケット,buy a ticket to Tokyo,,
tie,"名
動","ネクタイ
(～を)結ぶ、～をくくりつける、～をつなぐ","wear a tie
The child tied his shoes by himself.",●,
tiger,名,トラ,see a big tiger,,
till,前,～まで,till Wednesday,●,
time,"名





","①時間・時刻　②～回、～度　③(複数形で)時代
　at that〔the〕 time　その当時(には)
　all the time　いつも、常に
　for a long time　長い間
　for the first time　はじめて
　time keeping　時間の計測
　it is time to ～　～すべき時である","①have a good time　②several times　③in old times





",,●
tired,形,疲れた、くたびれた,I'm very tired.,,
title,名,題名、タイトル,the title of the movie,,
to,"前



","①～へ、～まで　②～に　③... まで～分前　④～に合って　
(不定詞)
①～すること　②～するための　③～するために
","①to the station　②I belong to the dance club.　③It's two minutes to 2 p.m.　④Choose the answer which corresponds to the order.
①I like to play with my dog.　②We have many things to do today.　③She went to the library to study.",,●
today,"名
副","今日、本日、現在、このごろ
今日は、現在では、このごろは","Where is today's newspaper?
How are you today?",,●
toe,名,足の指、つま先,stand on my toes,●,
together,副,いっしょに、共に,Let's go swimming together.,,
toilet,名,トイレ,Where is the toilet?,●,
tomato,名,トマト,a bright red tomato,●,
tomorrow,"名
副","明日
明日は","Tomorrow is another day.
It will rain tomorrow.",,●
tonight,"名
副","今晩、今夜
今晩は、今夜は","tonight's TV programs
I'll stay at home tonight.",,●
too,"副


","①～もまた　②あまりにも～すぎる
　Me, too.　私も。
　too ... to ～　～するには...すぎる、あまりにも...なので～できない　","①Me, too.  ②I'm too tired to walk.


",,●
tool,名,道具、工具、手段,English is a very useful tool.,●,
tooth,名,歯  《複数》teeth,lose a tooth,,
toothache,名,歯痛,have a toothache,,
top,"名
形","一番上の部分、頂上、てっぺん
最上位の、いちばん上の、トップの","the top of the mountain
She is the top athlete.",,●
topic,名,話題、トピック、テーマ,change the topic,,
touch,"名
動
","触れること、接触、連絡
①(～を)さわる　②～を感動させる
　keep in touch　連絡を取り合う","Please keep in touch.
①Don't touch the picture.　②I was touched by her speech.",,●
tour,名,旅行、見学、ツアー,a bus tour,,
tourist,名,旅行者、観光客,a Japanese tourist,●,
tournament,名,トーナメント、勝ち抜き戦、選手権大会,a tennis tournament,●,
toward,前,～の方へ、～へ向かって,walk toward the door,●,
towel,名,タオル,wipe my face on a towel,●,
tower,名,塔、タワー,the highest tower in Japan,●,
town,名,町,I was born in a small town.,,
toy,名,おもちゃ,play with toys,,
track and field,名,陸上競技,I am a member of the track and field club.,●,
tradition,名,伝統、慣習、しきたり,have a long tradition,,
traditional,形,伝統的な,traditional Japanese music,,
traffic,"名
","交通、往来
　traffic light　交通信号","Traffic is heavy on the street.
",●,
train,"名
動","電車、列車
(～を)訓練する、(～を)トレーニングする","on a train
train horses for the contest",,●
translate,動,～を訳す、～を翻訳する,translate the book from English into Japanese,●,
trash,名,ごみ、くず,pick up trash,,
travel,"名
動","旅行
旅行する","during my travels
travel abroad",,
traveler,名,旅行者,a business traveler,●,
treasure,名,宝物、財宝、貴重品,a national treasure,●,
tree,名,木,cut down the trees,,
trip,名,旅行,my trip to New York,,
trouble,名,困ること、困難、苦労、面倒、迷惑,have a lot of trouble,,
true,"形
","本当の、真実の
  come true　実現する、本当になる","a true story
",,●
trumpet,名,トランペット,play the trumpet,●,
trust,動,(～を)信用する、(～を)信頼する、(～と)期待する,I trust you.,●,
truth,名,真実、事実、ほんとうのこと,tell the truth,●,
try,"動
","(～を)試す、(～を)やってみる
　try to ～　～しようと試みる、努力する","try to open the door
",,●
T-shirt,名,Tシャツ,buy a blue T-shirt,,
Tuesday,名,火曜日,on Tuesday,,
turn,"動



","①曲がる、(～を)変える　②～を回す　③～になる、変わる
　turn on　(スイッチなど)を入れる、つける　
　turn off 　(スイッチなど)を切る、消す、止める
　turn into ～　～になる、変わる","①Turn left.　②turn the key　③The leaves turn red and yellow in autumn.

",,●
turtle,名,カメ,a turtle in the sea,●,
TV,"名
","テレビ
　on TV　テレビで","watch TV
",,●
twelfth,"名
形","１２番め、１２日
１２番めの","It's the twelfth night.
December is the twelfth month of the year.",,●
twelve,"名
形","１２
１２の","My favorite number is twelve.
for twelve hours ",,●
twentieth,"名
形","２０番め、２０日
２０番めの","My birthday is December 20th.
in the twentieth century",,●
twenty,"名

形","２０

２０の","The age of becoming an adult was changed from twenty to eighteen.
for twenty minutes",,●
twice,副,２度、２回、２倍,I have visited Osaka twice.,,
two,"名
形","２
２の","My favorite number is two.
two apples on the table",,●
type,名,型、種類、タイプ,this type of bike,,
typhoon,名,台風,a big typhoon,●,
,,,,,
【u】,,,,,
U.K.,名,(the を付けて)イギリス、連合王国(the United Kingdom の略) the. U.K.,visit the U.K.,,
U.S.,名,(the を付けて)アメリカ合衆国(the United States の略) the U.S. / the U.S.A.,live in the U.S.,,
umbrella,名,かさ,take an umbrella,,
uncle,名,おじ,my uncle living in Hokkaido,,
under,前,①～の下に、～のもとに　②～未満で,①under the bed　②students under eighteen,,●
underline,動,～に下線を引く,underline the word,,
understand,動,～を理解する、(～と)わかる　《活用》understood-understood,understand Japanese,,
unfair,形,不公平な、不当な、不正な,an unfair judge,●,
unfortunately,副,不運にも、残念ながら、あいにく,"Unfortunately, the weather was not good.",●,
uniform,名,制服、ユニフォーム,wear a school uniform,,
unique,形,独特の、唯一の、特有の、とても珍しい,a unique animal,●,
universal,形,万人に通じる、全員の,Food is a universal need for people.,●,
university,名,大学,go to university,,
until,"前
接","～まで(ずっと)
～するまで(ずっと)","until next week
Please stay here until I come back.",,
up,"形
副


","起こって
①上へ、上がって　②起きて、立って　③成長して　④増加して　⑤勢いよく、元気に　⑥すっかり、終わって　⑦～に近づいて
　What’s up?  どうしたのですか。","What's up?
①look up  ②get up  ③grow up ④speak up ⑤cheer up　⑥Time's up.  ⑦come up to the front
",,●
us,代,私たちを〔に〕,tell us an interesting story,,
use,"名
動","使用、利用、使うこと、用途
～を使う、～を利用する、～を消費する","This tool has many uses.
use his dictionary",,●
used,形,中古の、使い古した,a used car,●,
used to,,以前は～であった,This building used to be a school.  ,●,
useful,形,便利な、役に立つ,useful advice,,
user,名,使用者、利用者、ユーザー,Internet users,●,
usually,副,ふつう、たいてい、いつもは,usually get up at seven,,
,,,,,
【v】,,,,,
vacation,名,休暇、休日、休み,during the vacation,,
valuable,形,高価な、貴重な、価値のある,a valuable experience,●,
variety,"名
","①多種多様、さまざま、いろいろ　②変化
　a variety of ～　さまざまな～","①a variety of drinks　②Her life was full of variety.
",●,
various,形,さまざまな、いろいろな,in various ways,,
vegetable,名,野菜,grow vegetables,,
very,"副
","①とても、非常に　②(否定文で)あまり
　very much　とても、たいへん",①I'm very happy.　②He was not very happy with the result.,,●
vet,名,獣医,My dream is to be a vet.,●,
victim,名,犠牲者、被害者,victims of war,●,
video,"名
形
","動画、映像、ビデオ
テレビ(用)の、テレビ映像の
　video game　テレビゲーム","No camera and no video, please.
a video game
",,●
